管理番号,No.,都道府県,面接拠点,分野,種別,名称,募集人数,派遣先事業所住所,業務内容,案件キャッチコピー,最寄り駅,最寄り駅より車で,通勤方法,送迎バス,日勤のみフラグ,就業時間,休憩,土日休みフラグ,勤務形態・休日,入社予定日,社宅補助（契約社員）,性別,備考,勤務地市町村
A-4派生1,A-4,愛知県,,エンジニア,電気,大手自動車部品メーカー,10,愛知県安城市高棚新道1,電子部品の不具合調査,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-4派生2,A-4,愛知県,,エンジニア,電気,大手自動車部品メーカー,10,愛知県安城市高棚新道1,電子部品の不具合調査,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-4派生3,A-4,愛知県,,エンジニア,電気,大手自動車部品メーカー,10,愛知県安城市高棚新道1,電子部品の不具合調査,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-4派生4,A-4,愛知県,,エンジニア,電気,大手自動車部品メーカー,10,愛知県安城市高棚新道1,電子部品の不具合調査,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-4派生5,A-4,愛知県,,エンジニア,電気,大手自動車部品メーカー,10,愛知県安城市高棚新道1,電子部品の不具合調査,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-5派生1,A-5,広島県,福山,エンジニア,電気,大手半導体メーカー,5,広島県福山市大門町旭1番地4,半導体装置の保全・導入立上げ支援業務,,JR西日本　山陽本 線 大門 ,自動車 約 10 分,電車・バス・自動車・バイク・自転車,有（無料）,,昼勤 8:55～21:10  夜勤 20:55～9:10,105分,,シフト勤務（3勤3休）,即日～1月末まで,,,月の半分が休み　副業可能！どっちも大事！仕事とプライベート！！,広島県 福山市
A-5派生2,A-5,広島県,福山,エンジニア,電気,大手半導体メーカー,5,広島県福山市大門町旭1番地4,半導体装置の保全・導入立上げ支援業務,,JR西日本　山陽本 線 大門 ,自動車 約 10 分,電車・バス・自動車・バイク・自転車,有（無料）,,昼勤 8:55～21:10  夜勤 20:55～9:10,105分,,シフト勤務（3勤3休）,即日～1月末まで,,,月の半分が休み　副業可能！どっちも大事！仕事とプライベート！！,広島県 福山市
A-5派生3,A-5,広島県,福山,エンジニア,電気,大手半導体メーカー,5,広島県福山市大門町旭1番地4,半導体装置の保全・導入立上げ支援業務,,JR西日本　山陽本 線 大門 ,自動車 約 10 分,電車・バス・自動車・バイク・自転車,有（無料）,,昼勤 8:55～21:10  夜勤 20:55～9:10,105分,,シフト勤務（3勤3休）,即日～1月末まで,,,月の半分が休み　副業可能！どっちも大事！仕事とプライベート！！,広島県 福山市
A-5派生4,A-5,広島県,福山,エンジニア,電気,大手半導体メーカー,5,広島県福山市大門町旭1番地4,半導体装置の保全・導入立上げ支援業務,,JR西日本　山陽本 線 大門 ,自動車 約 10 分,電車・バス・自動車・バイク・自転車,有（無料）,,昼勤 8:55～21:10  夜勤 20:55～9:10,105分,,シフト勤務（3勤3休）,即日～1月末まで,,,月の半分が休み　副業可能！どっちも大事！仕事とプライベート！！,広島県 福山市
A-5派生5,A-5,広島県,福山,エンジニア,電気,大手半導体メーカー,5,広島県福山市大門町旭1番地4,半導体装置の保全・導入立上げ支援業務,,JR西日本　山陽本 線 大門 ,自動車 約 10 分,電車・バス・自動車・バイク・自転車,有（無料）,,昼勤 8:55～21:10  夜勤 20:55～9:10,105分,,シフト勤務（3勤3休）,即日～1月末まで,,,月の半分が休み　副業可能！どっちも大事！仕事とプライベート！！,広島県 福山市
A-6派生1,A-6,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市比治山本町11－20,ＩＴ機器の保守・修理（フィールドエンジニア）業務,,広島電鉄　段原1丁目,徒歩10分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,運転免許さえあれば未経験からエンジニアにチャレンジできる,広島県 広島市
A-6派生2,A-6,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市比治山本町11－20,ＩＴ機器の保守・修理（フィールドエンジニア）業務,,広島電鉄　段原1丁目,徒歩10分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,運転免許さえあれば未経験からエンジニアにチャレンジできる,広島県 広島市
A-6派生3,A-6,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市比治山本町11－20,ＩＴ機器の保守・修理（フィールドエンジニア）業務,,広島電鉄　段原1丁目,徒歩10分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,運転免許さえあれば未経験からエンジニアにチャレンジできる,広島県 広島市
A-6派生4,A-6,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市比治山本町11－20,ＩＴ機器の保守・修理（フィールドエンジニア）業務,,広島電鉄　段原1丁目,徒歩10分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,運転免許さえあれば未経験からエンジニアにチャレンジできる,広島県 広島市
A-6派生5,A-6,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市比治山本町11－20,ＩＴ機器の保守・修理（フィールドエンジニア）業務,,広島電鉄　段原1丁目,徒歩10分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,運転免許さえあれば未経験からエンジニアにチャレンジできる,広島県 広島市
A-7派生1,A-7,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市中区国泰寺町2-5-11,ICT支援業務（広島県内の学校の先生にＩＴ関連の支援）,,広島電鉄　市役所前,徒歩3分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,未経験からチャレンジ！！入社してから充実研修！,広島県 広島市
A-7派生2,A-7,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市中区国泰寺町2-5-11,ICT支援業務（広島県内の学校の先生にＩＴ関連の支援）,,広島電鉄　市役所前,徒歩3分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,未経験からチャレンジ！！入社してから充実研修！,広島県 広島市
A-7派生3,A-7,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市中区国泰寺町2-5-11,ICT支援業務（広島県内の学校の先生にＩＴ関連の支援）,,広島電鉄　市役所前,徒歩3分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,未経験からチャレンジ！！入社してから充実研修！,広島県 広島市
A-7派生4,A-7,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市中区国泰寺町2-5-11,ICT支援業務（広島県内の学校の先生にＩＴ関連の支援）,,広島電鉄　市役所前,徒歩3分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,未経験からチャレンジ！！入社してから充実研修！,広島県 広島市
A-7派生5,A-7,広島県,,エンジニア,IT,大手ＩＴ会社,5,広島県広島市中区国泰寺町2-5-11,ICT支援業務（広島県内の学校の先生にＩＴ関連の支援）,,広島電鉄　市役所前,徒歩3分,電車・バス・自動車・バイク・自転車,無し,,9：00～17：30,60分,,5勤2休　※カレンダー通り,即日～1月末まで,,,未経験からチャレンジ！！入社してから充実研修！,広島県 広島市
A-8派生1,A-8,愛知県,,エンジニア,機械,大手自動車部品メーカー,10,愛知県豊田市西広瀬町桐ケ洞543,生産管理,未経験者でもスタートできるエンジニア職！,愛知環状鉄道トヨタ市駅,自動車30分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,未経験歓迎　きれいな職場です,愛知県 豊田市
