管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk1ME,UT247,変更,2021/1/13,2024/8/19,ﾃﾞﾝｿｰﾃﾝ小山製作所,栃木県,小山市,間々田駅,正社員/契約社員,機電,生産技術業務,・生産技術、品質管理経験者,カーナビ、カーオーディオ部品,350万～,8:15～17:00,20h,3,不可,,可,※車があると便利です。,不明
nk2ME,UT248,変更,2021/1/13,2024/8/19,ﾃﾞﾝｿｰﾃﾝ小山製作所,栃木県,小山市,間々田駅,正社員/契約社員,機電,生産技術業務,・実装工程、設備メンテナンス,カーナビ、カーオーディオ部品,350万～,8:15～17:00,20h,3,不可,,可,※車があると便利です。,不明
nk3ME,OS105,変更,2021/5/12,2024/8/19,明石機械工業,兵庫県,加古郡,魚住駅,正社員/契約社員,機電,ステアリングギアの設計,・設計経験(CATIA、ケーラム),自動車部品,300万?450万,8:00～16:45,30h,3,不可,可,可,大手メーカーのグループ会社でのお仕事です。,不明
nk4ME,OS106,変更,2021/5/12,2024/8/19,明石機械工業,兵庫県,加古郡,魚住駅,正社員/契約社員,機電,ステアリングギアの生産ラインの立上げ,・生産技術経験者,自動車部品,300万?450万,8:00～16:45,40h,3,不可,可,可,大手メーカーのグループ会社でのお仕事です。,不明
nk5ME,OS129,変更,2021/5/12,2024/8/19,川崎重工業,兵庫県,明石市,西明石駅,正社員/契約社員,機電,コスト管理 （汎用小型エンジンの資材費・内製費）,・資材費、内製費等のコスト情報の収集・集計ができる ・開発費、販直費、関税、為替が理解できる ・エンジン部品の名称、機能、構成等が概ね理解できる,二輪車、エンジン,400万?550万,8:00～17:00,30h,3,不可,可,可,大手メーカーでの設計の仕事です。,不明
nk6ME,OS130,変更,2021/5/12,2024/8/19,川崎重工業,兵庫県,明石市,西明石駅,正社員/契約社員,機電,アルミ鋳造部品製造工程 ・重力・低圧・ダイガスト鋳造 二輪車部品の梱包業務や生産準備業務,・冶具設計の経験を3年以上,二輪車、エンジン,400万?550万,8:00～17:00,30h,3,不可,可,可,大手メーカーでの設計の仕事です。,不明
nk7ME,OS131,変更,2021/5/12,2024/8/19,川崎重工業,兵庫県,明石市,西明石駅,正社員/契約社員,機電,設備設計・保全業務 ・仕様打ち合せ、基本設計～調整・試運転,・設備設計の経験を3年以上,二輪車、エンジン,400万?550万,8:00～17:00,30h,3,不可,可,可,大手メーカーでの設計の仕事です。,不明
nk8RE,OS133,変更,2020/9/14,2024/8/17,東和薬品,大阪府,門真市,門真市駅,正社員/契約社員,R&D,ジェネリック医薬品の成分検査,・製薬業界経験者 ・HPLC使用経験,医薬品,300万?450万,8:40～17:40,20h,3,不可,,可,大手製薬メーカーでのお仕事です。,不明
nk9ME,OS138,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーエレクトロニクス製品の機構設計,・CATIAやその他の3DCADを使用しての設計経験（自動車部品が望ましい） ・一般の機械系加工技術の知識のある方,カーナビ カーエレクトロニクス製品,400万?550万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk10ME,OS139,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーエレクトロニクス製品の設計補助,・電気部品関連の知識・経験（抵抗、コンデンサ、トランジスタなど） ・電気回路関連の知識・経験（簡単な回路構成の理解） ・ExcelなどのPC作業 ・オシロスコープなど計測器取り扱い,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk11ME,OS140,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,生産設備の生産治具設計及び出荷関連業務,・機械系設計業務2年以上 ・機械系ＣＡＤの操作経験がある ・冶具の据付等の現場作業立会に対応できる方 ＜WANT＞ ・生産技術関連業務の経験,カーナビ カーエレクトロニクス製品,400万?550万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk12MI1,OS141,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーメカトロニクス製品の評価補助及び報告書作成 客先耐久評価品の分解作業,・Excelが使える事（データ入力程度）,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk12MI2,OS141,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーメカトロニクス製品の評価補助及び報告書作成 客先耐久評価品の分解作業,・Excelが使える事（データ入力程度）,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk12ME,OS141,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーメカトロニクス製品の評価補助及び報告書作成 客先耐久評価品の分解作業,・Excelが使える事（データ入力程度）,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk13MI1,OS142,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーメカトロニクス製品の評価補助及び報告書作成,・Excelが使える事（データ入力程度） ＜WANT＞ ・評価部門経験者（各種測定器が取り扱える方）,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk13MI2,OS142,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーメカトロニクス製品の評価補助及び報告書作成,・Excelが使える事（データ入力程度） ＜WANT＞ ・評価部門経験者（各種測定器が取り扱える方）,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk13ME,OS142,変更,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーメカトロニクス製品の評価補助及び報告書作成,・Excelが使える事（データ入力程度） ＜WANT＞ ・評価部門経験者（各種測定器が取り扱える方）,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk14IE,OS143,変更,2022/5/17,2024/8/19,ﾇｳﾞｫﾄﾝﾃｸﾉﾛｼﾞｰｼﾞｬﾊﾟﾝ,京都府,長岡京市,長岡京,正社員/契約社員,IT,DIS半導体開発 評価解析、検査開発、CAD業務 ・新商品開発(半導体パラアナ等での電気的特性評価) ・実装、測定業務(基盤への半田付け、X線) ・検査導入（新規ﾃｽﾀｰ/基盤/プログラム導入) ・新商品CAD設計,・評価・解析業務 ・半導体デバイス知識を有する、設計・評価経験 ・テスター知識/検査検証スキル (パワー/アナログ) (リレー・OPアンプ・回路設計/プログラム言語) ・CAD設計スキル (チップ単体のレイアウト設計) ＜WANT＞ ・ディスクリート経験,半導体,300万?500万,8:30～17:00,40h,5,不可,,可,大手メーカーでの開発、設計業務,不明
nk15II1,OS144,変更,2022/5/17,2024/8/19,ﾇｳﾞｫﾄﾝﾃｸﾉﾛｼﾞｰｼﾞｬﾊﾟﾝ,京都府,長岡京市,長岡京,正社員/契約社員,IT,DIS半導体開発 評価解析、検査開発、CAD業務 ・新商品開発(半導体パラアナ等での電気的特性評価) ・実装、測定業務(基盤への半田付け、X線) ・検査導入（新規ﾃｽﾀｰ/基盤/プログラム導入) ・新商品CAD設計,・半導体(化合物等)を学んだことのある方,半導体,300万?500万,8:30～17:00,40h,5,可,,可,大手メーカーでの開発、設計業務,不明
nk15II2,OS144,変更,2022/5/17,2024/8/19,ﾇｳﾞｫﾄﾝﾃｸﾉﾛｼﾞｰｼﾞｬﾊﾟﾝ,京都府,長岡京市,長岡京,正社員/契約社員,IT,DIS半導体開発 評価解析、検査開発、CAD業務 ・新商品開発(半導体パラアナ等での電気的特性評価) ・実装、測定業務(基盤への半田付け、X線) ・検査導入（新規ﾃｽﾀｰ/基盤/プログラム導入) ・新商品CAD設計,・半導体(化合物等)を学んだことのある方,半導体,300万?500万,8:30～17:00,40h,5,可,,可,大手メーカーでの開発、設計業務,不明
nk15IE,OS144,変更,2022/5/17,2024/8/19,ﾇｳﾞｫﾄﾝﾃｸﾉﾛｼﾞｰｼﾞｬﾊﾟﾝ,京都府,長岡京市,長岡京,正社員/契約社員,IT,DIS半導体開発 評価解析、検査開発、CAD業務 ・新商品開発(半導体パラアナ等での電気的特性評価) ・実装、測定業務(基盤への半田付け、X線) ・検査導入（新規ﾃｽﾀｰ/基盤/プログラム導入) ・新商品CAD設計,・半導体(化合物等)を学んだことのある方,半導体,300万?500万,8:30～17:00,40h,5,可,,可,大手メーカーでの開発、設計業務,不明
nk16ME,OS147,変更,2022/5/17,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,シート開発業務 安全性能、強度耐久性能、座り心地性能、使用性の各性能項目に対して先行開発（図面要件化、評価定量指標化）～機種開発（性能企画、予測（CAE含む）、実機評価）,・機械素養があること ・自動車普通免許あり（≠ペーパードライバー） ・コミュニケーション能力が高い,自動車,400万?800万,8:45～17:30,20h,3,不可,,不可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！ ・35歳以下 ・ハートが強いこと,不明
nk17OE,OS155,変更,2021/5/12,2024/8/19,三菱電機神戸製作所,兵庫県,神戸市,和田岬駅,正社員/契約社員,その他,耐震評価業務全般 ・報告書のチェック、リスト整備、関係部署との折衝,・機械工学の内材料力学の知識を有し、構造強度評価業務経験 ・または、機械工学に関する学科卒業後、5年程度の方,原子力施設,300万?500万,8:45～17:15,20h,3,不可,可,不可,大手電機メーカーでのお仕事です。,不明
nk18OE,OS162,変更,2021/5/12,2024/8/19,神鋼ｴﾝｼﾞﾆｱﾘﾝｸﾞ&ﾒﾝﾃﾅﾝｽ,兵庫県,神戸市,阪急本線 岩屋駅,正社員/契約社員,その他,・現場組織の改善(QC支援、治具の強度計算など) ・現場技術・技能に関わる教育の立案・実施 ・作業に関わるトラブル対応(安全・品質・環境) ・組織運営に対する提案,・機械系の知識を有する方、素養がある方 ・施工管理経験がある方 ・課題形成能力がある方 ・コミュニケーション能力がある方 ・パソコンの基本操作ができる方(Excel、Word、PowerPoint、Outlook等),,300万?600万,8:00～16:30,30h,3,不可,可,不可,一部上場神戸製鋼グループ ・30代後半までの方,不明
nk19IE,OS183,変更,2022/5/17,2024/8/19,ﾊﾟﾅｿﾆｯｸﾌﾟﾛﾀﾞｸｼｮﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ,大阪府,門真市,門真市駅,正社員/契約社員,IT,工場管理システムの設計・開発業務全般 ・SCM・品質管理・生産技術・工場CIMなどのシステム開発・営業情報システム･ドキュメント管理工場等におけるシステム全般 ・関係各社との折衝業務、各部門との調整等,・オープン系システムの開発経験者 （Java、.NET、C・C++),生産設備,400万?600万,8:30～17:00,20h,3,不可,,不可,大手電機メーカーのグループ会社です。,不明
nk20IE,OS184,変更,2022/5/17,2024/8/19,ﾊﾟﾅｿﾆｯｸﾌﾟﾛﾀﾞｸｼｮﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ,大阪府,門真市,門真市駅,正社員/契約社員,IT,電子部品実装機や生産設備の制御ソフトやﾋｭｰﾏﾝﾏｼﾝｲﾝﾀｰﾌｪｰｽの開発業務全般 生産技術の世界同時垂直立ち上げを支える設備機器・生産ラインの開発,・制御系・組込系システムの開発経験のある方 ・調整業務・コミュニケーション能力,生産設備,400万?600万,8:30～17:00,20h,3,不可,,不可,大手電機メーカーのグループ会社です。,不明
nk21IE,OS185,変更,2022/5/17,2024/8/19,ﾊﾟﾅｿﾆｯｸﾌﾟﾛﾀﾞｸｼｮﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ,大阪府,門真市,門真市駅,正社員/契約社員,IT,設備・生産システムの設計開発業務 ・ｴﾅｼﾞｰ、ｴｺ、ﾍﾙｽｹｱ、ﾃﾞｼﾞﾀﾙAVなどの量産に必要な設備の開発設計業務全般,・設備設計経験者 （機械・機構系orハートﾞ制御系）,生産設備,400万?600万,8:30～17:00,20h,3,不可,,不可,大手電機メーカーのグループ会社です。,不明
nk22IE,OS186,変更,2022/5/17,2024/8/19,ﾊﾟﾅｿﾆｯｸﾌﾟﾛﾀﾞｸｼｮﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ,大阪府,門真市,門真市駅,正社員/契約社員,IT,生産ライン・設備機器・検査機の制御配線・ソフト ・設備製作とその保守メンテナンスまでの業務全般,・生産設備制御系（PLC）組込、開発経験 ・PC知識、セットアップ経験,生産設備,400万?600万,8:30～17:00,20h,3,不可,,不可,大手電機メーカーのグループ会社です。,不明
nk23OE,OS196,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,その他,評価ｻﾝﾌﾟﾙの各種試験・測定業務 評価ｻﾝﾌﾟﾙの基板への実装業務 評価ｻﾝﾌﾟﾙの信頼性試験測定業務 測定業務の手順化 測定結果のまとめ,・評価試験業務の経験 ・高周波技術の知見もしくは経験,高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk24OE,OS20,変更,2022/5/17,2024/8/19,日本ｽﾋﾟﾝﾄﾞﾙ製造,兵庫県,尼崎市,JR塚口尼崎駅,正社員/契約社員,その他,クーラント液浄化装置の設計補助,・MicroCADAM経験,クーラント液浄化装置,300万?450万,8:30～17:15,30h,3,不可,,不可,都心で設計補助業務に携われます。,不明
nk25OE,OS212,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋,正社員/契約社員,その他,新製品開発におけるプロジェクトマネジメントおよびそのサポート業務全般 日本国内・アメリカ・シンガポール・韓国など、関連部門と開発促進・量産化のためメール・電話・会議を通したやりとりのサポート。（日本語・英語） ・新製品開発のMilestone管理、特にサンプルに関するポイントは必須。 ・新製品ProjectManagementサポート業務。議事取り・配信。 ・サンプルスケジュール管理。資料作成、配信。 ・国内関連部門と課題解決に向けたProject推進・フォロー。 ・海外部門とのメールやり取り、電話会議参加。  ・国内外からの来訪のアレンジ。アドミ対応。 ・通訳/翻訳業務。,・英語で打合せが可能なレベル （目安としてTOEIC800点以上) ・Excel/Word/PowerPoint/Outlookは問題なく利用できる ＜WANT＞ ・製造業、通信機器関連企業における業務経験,高周波フィルタ,400万?700万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。 35歳くらいまで 明朗活発で健康なこと,不明
nk26OI1,OS213,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋,正社員/契約社員,その他,半導体装置の設備点検,・日勤・夜勤交代勤務OKな方,高周波フィルタ,400万?700万,8:30～20:30,30h,5,可,,可,大手半導体メーカーでのお仕事です。,不明
nk26OI2,OS213,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋,正社員/契約社員,その他,半導体装置の設備点検,・日勤・夜勤交代勤務OKな方,高周波フィルタ,400万?700万,8:30～20:30,30h,5,可,,可,大手半導体メーカーでのお仕事です。,不明
nk26OE,OS213,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋,正社員/契約社員,その他,半導体装置の設備点検,・日勤・夜勤交代勤務OKな方,高周波フィルタ,400万?700万,8:30～20:30,30h,5,可,,可,大手半導体メーカーでのお仕事です。,不明
nk27RE,OS214,変更,2020/10/14,2024/8/17,参天製薬,奈良県,生駒市,学研北生駒駅,正社員/契約社員,R&D,機器（HPLC等）を用いた原薬・製剤の定量・定性等 ・理化学分析 ・データ整理・PC入力 ・試験記録の作成,＜MUST＞ ・HPLCによる定量経験（経験年数：1年～3年） ＜WANT＞ ・医薬品業種の経験,医薬品,300万?500万,8:30～17:15,10h,3,不可,,不可,医薬品メーカーでのお仕事です。,不明
nk28ME,OS217,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,機電,フィルタの設計開発・製品化 ・生産に伴うプロセス開発 ・電極材料や誘電体材料の開発 （成膜：スパッタリング、蒸着、CVD、加工：ドライエッチング、ウェットエッチング、CMP） ・小型化パッケージング工法開発 （主に空間形成、端子形成） ・フォトリソグラフィ工法の開発 （装置：i線ステッパ、KrFステッパ、材料：レジスト、現像液、剥離液）,＜MUST＞ ・デバイス設計あるいは、プロセス開発の業務経験者 ・新製品開発あるいは、量産に携わった経験 ＜WANT＞ ・半導体プロセスに関する知識 ・高周波部品に関する測定および分析技術と知識 ・英語での資料読解や書類作成が可能なレベル,装置,500万?700万,08:30～17:00,20h,5,不可,,可,大手メーカでの勤務 世界最高クラスのデバイスの開発に携われます 世の中で多く使用されるスマホやカーナビ、Bluetoothなどに内蔵される部品であるため、街で見かけることも多く最終顧客との繋がりを実感することが出来ます,不明
nk29ME,OS218,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,機電,フィルタの生産改善業務 ・フィルタの生産拡大を実現するためのIE業務、生産性改善プロジェクトの推進など ・対象装置：スパッタ、ドライエッチング、フォトリソグラフィ、成膜等,＜MUST＞ ・半導体あるいは、電子部品の生産技術経験 ・生産性改善活動に取り組まれた経験がある方 ＜WANT＞ ・英語によるコミュニケーションスキル（資料作成、簡単な業務上の英会話） ・生産プロセスを広く理解しながら、一つの工程に専門性がある方,装置,500万?700万,08:30～17:00,20h,5,不可,,可,大手メーカでの勤務 世界最高クラスのデバイスの開発に携われます 世の中で多く使用されるスマホやカーナビ、Bluetoothなどに内蔵される部品であるため、街で見かけることも多く最終顧客との繋がりを実感することが出来ます,不明
nk30IE,OS221,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,IT,高周波フィルタフィルタの設計開発 ・仕様要望を満たすSAW/BAWfilterの設計、シミュレーション検討 ・具現化のためCADによる図面作成 ・性能改善に向けた新構造の考案 ・量産化に向けたシミュレーション検証 ・特性不良に対するシミュレーション解析 ・新製品の開発業務,・SAW/BAWデバイス、RFfilterの高い知識を保有し、設計者としての経験をお持ちの方 ・HFSS、ADSなどの高周波デバイス開発用のツールを使った業務経験,高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk31IE,OS222,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,IT,高周波フィルタのプロセス開発 ・フォトリソグラフィ、ドライエッジ、洗浄、CMP、成膜、検査、欠陥調査等,・フィルターや半導体、液晶等のプロセス技術開発・量産化の業務経験,高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk32IE,OS223,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,IT,高周波フィルタのデバイス化 ・プロセスインテグレーション、量産前～量産後の歩留まり改善、品質改善等,＜MUST＞ ※以下いずれかに当てはまる方 ・デバイス設計またはプロセス技術者として新製品開発または量産に従事した経験 ・半導体、液晶、LED等のプロセス要素技術に関する知識 ・高周波部品に関する測定および分析技術と知識 ・データ分析および解析 ・量産品の歩留り改善,高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk33IE,OS224,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,IT,高周波フィルタの設計開発,＜MUST＞ ※以下いずれかに当てはまる方 ・デバイス設計またはプロセス技術者として新製品開発または量産に従事した経験 ・半導体、液晶、LED等のプロセス要素技術に関する知識 ・高周波部品に関する測定および分析技術と知識 ・データ分析および解析 ・量産品の歩留り改善,高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk34OE,OS225,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,その他,高周波フィルタの品質管理、品質保証,【経験】・品質管理職能経験※製品不問 【知識】・品質管理基礎知識(SPC/FMEA/8D/FTAなど),高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk35OE,OS226,変更,2022/5/17,2024/8/19,ｽｶｲﾜｰｸｽﾌｨﾙﾀｰｿﾘｭｰｼｮﾝｽﾞｼﾞｬﾊﾟﾝ,大阪府,大阪市,北加賀屋駅,正社員/契約社員,その他,高周波フィルタデバイスの試作・不良品解析 ・製品の不良品解析業務 ・機器分析（SEM、FIB） ・断面解析 ・品質改善活動,・SEM、FIB、TEM等の知識および作業の経験 ・高周波を取り扱った経験及び知識,高周波フィルタ,300万?500万,8:30～17:00,20h,3,不可,,可,大手半導体メーカーでのお仕事です。,不明
nk36IE,OS229,-,2022/5/17,2024/8/19,ﾇｳﾞｫﾄﾝﾃｸﾉﾛｼﾞｰｼﾞｬﾊﾟﾝ,京都府,長岡京市,長岡京駅,正社員/契約社員,IT,CMOSイメージセンサの製品・システム開発 ・CMOSイメージセンサ（2D、3Dセンサ）のプロセス及び画素開発…高性能イメージセンサを実現するためのデバイス、光学Simulationによる画素設計 ・製造委託先連携でのプロセス開発マネージメント ・CMOSイメージセンサの実装技術開発…イメージセンサPKG構造の開発、および組立委託先のプロセス開発マネージメント,・アナログ回路設計経験 ・電子部品のチップ設計の経験 ・イメージセンサのデバイス開発（デバイス／光学Simulation）経験 ・半導体プロセス技術経験者 ・半導体製品の実装及びPKG開発経験,イメージセンサ・画像処理LSI,400万?700万,8:30～17:00(所定労働h:7h45分),20h,3,不可,,可,大手半導体企業での業務となります。,不明
nk37ME,OS230,-,2022/5/17,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,衝突安全性能企画・開発業務,・衝突安全関係の業務経験 ・自動車の基本的な知識 ・基礎的な物理現象が理解でき論理的に 物事を考えれる人 ・語学力（可能であればTOEIC500点程度）,自動車,400万?800万,8:45～17:30,20h,3,不可,,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
nk38ME,OS231,-,2022/5/17,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,衝突安全性能に関わる評価業務 ・試作車両に衝突性能解析に必要なデータ取得のため、車両分解、 改造、各種計測装置のｾｯﾄを行い、衝突試験を実施し取得したデータ から要求性能の確認と解析のためアウトプットする。,・ガス／アーク溶接・玉掛け・フォークリフト・床玉 ・危険物･自動車整備士 ・VBAやエクセルマクロの基礎知識 ＜WANT＞ ・手／電動／エア工具を使用する現場作業業務経験,自動車,400万?800万,8:45～17:30,20h,3,不可,,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
nk39ME,OS232,-,2022/5/17,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,製品開発についての空力CAE解析、解析モデル作成業務,・解析業務経験,自動車,400万?500万,8:45～17:30,20h,3,不可,,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
nk40ME,OS233,-,2022/5/17,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,車両デザイン開発業務 ・CGアニメーションカット製作 ・撮影作業 ・3DデータのVR化作業 ・VRシステムの管理運用,・Maya、3dsMax、UE4、Unity,自動車,400万?500万,8:45～17:30,20h,3,不可,,可,VRによる車の内外カラーデザインに関わる魅力的なお仕事,不明
nk41ME,OS234,-,2022/5/17,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,車両1D解析業務 ・モデルベール開発業務,・Amesim ・MotionSolove ・SimulationX ・MatlabSimulink ・Nastran(3D),自動車,400万?800万,8:45～17:30,20h,3,不可,,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
nk42OE,OS235,-,2022/5/17,2024/8/19,ｷｰｴﾝｽ,大阪府,大阪市,地下鉄　西中島南方駅,正社員/契約社員,その他,製造で使う組み立て治具、検査装置の機構設計,＜MUST＞SolidWorks経験  ・組立工程、工法の説明、要求事項を伝えたら、それに応じた ある程度の構想イメージを元に、外部業者に設計委託できるように仕様書の作成ができる ・設計依頼、管理、やり取りができるコミュニケーション能力,生産設備、装置,400万?600万,9:00～18:00 (休憩12:00～13:00),20h,3,不可,,不可,超一流企業での勤務 ※21時00分を超えての残業はありません。,不明
nk43RE,OS236,変更,2021/2/12,2024/8/17,全星薬品工業,大阪府,岸和田市,和泉府中駅,正社員/契約社員,R&D,医薬品製造業に係わる品質管理業務,・医薬品業界でのHPLCを用いた分析経験,医薬品,300万?400万,8:45～17:45,10h,3,不可,,不可,ジェネリック医薬品の開発・生産・販売を行う企業です。,不明
