管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk259RI2,YKe000398,変更,2021/4/7,2024/8/17,国立医薬品食品衛生研究所,神奈川県,川崎市,川崎駅,正社員/契約社員,R&D,細胞培養・分析等,・細胞培養・分析等の経験,医薬品,350万～500万,9:00～18:00,10～20h,3,可,可,可,,不明
nk259RE,YKe000398,変更,2021/4/7,2024/8/17,国立医薬品食品衛生研究所,神奈川県,川崎市,川崎駅,正社員/契約社員,R&D,細胞培養・分析等,・細胞培養・分析等の経験,医薬品,350万～500万,9:00～18:00,10～20h,3,可,可,可,,不明
nk260RE,YKe000399,変更,2021/4/7,2024/8/17,遺伝子治療研究所,神奈川県,川崎市,川崎駅,正社員/契約社員,R&D,治療薬の製造における開発,・細胞培養・バイオ実験・ワクチンの開発経験 ・GMPに関して教養があり用語が通じる人材,医薬品,350万～500万,9:00～18:00,10～20h,3,不可,可,可,,不明
nk261RE,YKe000402,-,2021/6/24,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・業界出身の知見を持った人材,塗料,300万～500万,8:30～17:00,20h,3,不可,可,不可,,不明
nk262ME,YKe000403,変更,2021/6/15,2024/8/19,矢崎部品,静岡県,裾野市,裾野,正社員,機電,自動車用WHの実験・評価,・実機を用いた実験・評価業務経験,自動車部品(WH),350万円～400万円,8:30～17:30,10～20h,3,不可,不可,不可,,不明
nk263II1,OSi000409,-,2021/6/18,2024/9/11,ﾃﾞｨｰ･ｵｰ･ｴｽ富山,富山県,魚津市,電鉄魚津,正社員,IT,システム運用・監視 ・製造システムの異常監視 ・現場からのシステムに関する問合せ対応,・基本PC操作、Excel操作 ・コミュニケーション能力 ・24H365D勤務可能(2交代シフト),システム,350万円～600万円,9:00～18:00,10～30h,,,,,No382,不明
nk263II2,OSi000409,-,2021/6/18,2024/9/11,ﾃﾞｨｰ･ｵｰ･ｴｽ富山,富山県,魚津市,電鉄魚津,正社員,IT,システム運用・監視 ・製造システムの異常監視 ・現場からのシステムに関する問合せ対応,・基本PC操作、Excel操作 ・コミュニケーション能力 ・24H365D勤務可能(2交代シフト),システム,350万円～600万円,9:00～18:00,10～30h,,,,,No382,不明
nk263IE,OSi000409,-,2021/6/18,2024/9/11,ﾃﾞｨｰ･ｵｰ･ｴｽ富山,富山県,魚津市,電鉄魚津,正社員,IT,システム運用・監視 ・製造システムの異常監視 ・現場からのシステムに関する問合せ対応,・基本PC操作、Excel操作 ・コミュニケーション能力 ・24H365D勤務可能(2交代シフト),システム,350万円～600万円,9:00～18:00,10～30h,,,,,No382,不明
nk264RE,SDe000411,変更,2021/6/18,2024/8/30,ｱｸﾛｽｹｰﾙ,宮城県,仙台市,青葉山駅,正社員/契約社員,R&D,糖鎖合成,・有機合成経験者 （基礎知識があり、指示のもと合成作業ができる方）,医薬品,350万円～500万円,10:00～17:00,20h,3,不可,可,可,,不明
nk265IE,YKe000413,変更,2021/6/22,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,川崎or横浜(基本、在宅勤務),川崎、大船,正社員/契約社員,IT,通信系ブロックのロジック部設計、検証業務,"＜MUST＞ ・SPI(SerialPeripheralInterface)コントローラの設計検証の実務経験がある。 ・SPI通信についての知識がある。 ・コミュニケーションが良好で、自立して作業ができる ＜WANT＞ ・下記EDAツールが使用できること VCSまたはIncisive ・下記言語での開発経験があること。 Perl,C言語,Verilog ・下記環境での作業、ツールの使用経験があること。 Linux,CVS/SVN/Git",LSI,400万～,9:00～18:00,20h,3,不可,可,不可,,不明
nk266IE,YKe000414,変更,2021/6/22,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,横浜市(基本、在宅勤務),大船,正社員/契約社員,IT,半導体LSIフラッシュメモリ製品開発における手書きレイアウト設計業務,・半導体レイアウト設計の実務経験がある。 ・半導体マニュアルレイアウトの実務経験がある ・半導体手書きレイアウトの実務経験がある。 ・半導体アナログレイアウトの実務経験がある。 ・半導体スタンダードセルの実務経験がある。 ・Virtuoso、Caribre等の実務での使用経験がある ・コミュニケーションが良好で自立して作業ができる。 ※メモリチップの手書きレイアウト設計の経験があると良い。,LSI,400万～,9:00～18:00,20h,3,不可,可,不可,,不明
nk267RI1,UTe000434,-,2022/8/29,2024/8/19,大日本塗料　那須工場,栃木県,大田原市,野崎,正社員,R&D,塗料の基礎研究・製品開発業務,・GC、HPLC等の分析機器が使える人材,塗料,300万～400万,8:30～17:00,20h,3,可,不可,不可,,不明
